requirement_id,role,policy_source_doc,source_section,requirement_text,mandatory,priority,due_stage,competency_area,related_task,related_assessment_topic,case_type,prerequisite_requirement_id
94d391c3-3a8f-45cc-860c-836b435469c8,Data Analyst,24f753fe-bec2-4dc5-8fd0-a7c1531579e6,2.1 Permitted Use,Ensure customer data is not used for marketing without explicit consent.,Y,High,Week2,Privacy,Data Usage,Consent Policy,standard,
c38d253d-978d-4bfb-abc0-a4249a805fa0,DevOps/IT Engineer,c5796d03-783a-40d0-a7d2-03b2bd112907,2.1 Encryption,Enable full-disk encryption on all company laptops.,Y,High,Week1,Security,Endpoint Protection,Encryption Policy,standard,634612ad-2294-4ff7-ac2e-8366710ce035
37e163e1-8b6e-40be-a755-e898cc6ab70f,Sales Executive,f64abaf9-9d6e-4dcd-898e-85152253f2d7,1.2 Qualification,Qualify leads using BANT framework before adding to CRM.,Y,High,Week2,Sales,Lead Qualification,BANT Quiz,standard,e0c1bb61-92f0-44bd-9702-8676e392ec7b
2d91c863-c90f-481d-a64e-903c8d5995fb,Customer Support Executive,b3790798-829a-4415-9f2f-b93d3ef303a0,3.1 Tone and Empathy,"Maintain polite, empathetic tone and avoid technical jargon.",Y,Medium,Week1,Communication,Customer Relations,Tone Guide,standard,
b58e9ed5-1dfb-4b12-a9e2-f977b9ac2531,HR Executive,34130c47-b12c-4464-9e22-2690e28b6d49,4.1 Resignation,Receive 2-week resignation notice and notify managers.,Y,High,Month1,Offboarding,Resignation SOP,Exit Process,standard,
61293411-6a2b-4968-9bc9-143fd274d4a6,Finance Associate,23dcc303-866e-405d-8003-60930bc5aa76,3.2 Outstanding Payments,Suspend account access for client invoices overdue by 60 days.,Y,High,Month1,Collections,Account Management,Dunning SOP,standard,863b7524-1ba8-4b44-a5c0-299afa089d9d
7a675789-c588-4a18-bab8-edf60c691ae4,Operations Coordinator,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,2.2 Remote Work,Process remote work requests up to 3 days per week.,N,Low,Week2,Administration,Remote Policy,Workplace Ops,standard,
9b198e3b-53cd-4f9e-9c2a-97ddc961c22e,Marketing Executive,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,4.2 Professional Development,"Utilize $1,000 annual stipend for relevant courses and certifications.",N,Low,Month1,Professional Growth,Training,Stipend Guidelines,standard,
e9272fa4-95b6-4d81-974e-9f5115c9234e,Software Support Engineer,a3de2bef-1d2f-48ce-9aa7-068b2f814b2b,3.2 Who do I contact for IT support?,Respond to hardware/software tickets in designated IT Slack channel.,Y,Medium,Week1,IT Support,Communication,Slack SOP,standard,
5897000c-65ae-4c5b-81b2-82f9255d4ef2,Branch/Team Manager,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,4.1 Performance Reviews,Evaluate employee performance against set OKRs bi-annually.,Y,High,Month1,Management,Reviews,OKR Guidelines,standard,b61f49ca-bade-45d0-a265-7402c0af40fe
a0935f98-9894-4d31-a409-3c989d94b970,Data Analyst,24f753fe-bec2-4dc5-8fd0-a7c1531579e6,1.1 Customer Data,Limit access to customer data solely to reporting tasks.,Y,High,Week2,Privacy,Access Control,Data Policy,standard,
634612ad-2294-4ff7-ac2e-8366710ce035,DevOps/IT Engineer,c5796d03-783a-40d0-a7d2-03b2bd112907,1.2 Multi-Factor Authentication (MFA),Enforce mandatory MFA across all internal systems.,Y,High,Week1,Security,MFA Setup,Access Policy,standard,
9ce446d2-818b-4b56-9c44-255246ef5806,Sales Executive,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,2.1 Working Hours,Core hours are 10 AM to 3 PM.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
d1060ce1-3f58-4ca5-a508-dd05f6e28bdc,Sales Executive,a3de2bef-1d2f-48ce-9aa7-068b2f814b2b,1.1 What are our core working hours?,Core hours are 9 AM to 5 PM strictly.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
f2656b09-6357-46f3-bc8f-5815ddc85525,Branch/Team Manager,9b4bf591-0efa-4d00-96cc-e6dea6656918,1.2 Approval Process,Managers must approve leaves over 3 days.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
48313b00-a0cb-4267-9397-9371f1f247e4,Branch/Team Manager,9b4bf591-0efa-4d00-96cc-e6dea6656918,4.1 Extended Absences,Only HR can approve leaves over 3 days.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
4f5cfb86-0d74-4b3e-a915-6eae639c45a0,Finance Associate,23dcc303-866e-405d-8003-60930bc5aa76,2.2 Approval Limits,Managers can approve expenses up to $500.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
c69d2a9d-77c4-424d-9f8e-37057c7d40e6,Finance Associate,23dcc303-866e-405d-8003-60930bc5aa76,2.2 Approval Limits,All expenses require Finance Director approval.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
66377e03-a5c4-4d75-a9e3-7f67163ce916,DevOps/IT Engineer,24f753fe-bec2-4dc5-8fd0-a7c1531579e6,3.1 Retention Period,Retain customer data for 90 days after subscription ends.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
55e52a48-4fb0-48d0-8f7f-dfbe47de0243,DevOps/IT Engineer,24f753fe-bec2-4dc5-8fd0-a7c1531579e6,3.2 Deletion Requests,Delete all customer data immediately upon subscription end.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
89bb7157-7a21-4215-993c-c9aceec75aeb,HR Executive,34130c47-b12c-4464-9e22-2690e28b6d49,3.1 Progressive Discipline,Must follow progressive steps before termination.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
78241968-65c4-4cf9-855e-47ebd8aacec6,HR Executive,34130c47-b12c-4464-9e22-2690e28b6d49,3.2 Immediate Dismissal,Managers can terminate immediately for any violation.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
f3028a9f-8090-4515-8fd1-8c5d92f11424,HR Executive,34130c47-b12c-4464-9e22-2690e28b6d49,4.1 Resignation,Employees must provide a minimum 2-week notice period when resigning.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
51f0754e-4230-479c-aed1-a4545045e343,HR Executive,900bdd59-fb49-4c22-aad6-f15e956b6bf3,3.1 HR Executive,Senior staff must provide a minimum 4-week notice period prior to resignation.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
859a40c7-31a3-40db-9b5b-593c4030ad4e,Finance Associate,23dcc303-866e-405d-8003-60930bc5aa76,2.1 Submitting Claims,Expense claims must be submitted within 30 days of transaction.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
457638ed-6f1b-461b-9bb0-fa08fd4b8920,Finance Associate,2426cc43-7f4c-4501-99b9-ccd75a9937da,4.1 Submission Timeline,Travel expense reports must be submitted within 15 days of returning.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
5948c344-3368-440e-8c95-31613a8d397f,Customer Support Executive,b3790798-829a-4415-9f2f-b93d3ef303a0,1.2 Response Times,Acknowledge normal tickets within 4 hours during business hours.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
17079e9d-e74e-4e08-895b-d6df796cc1b7,Customer Support Executive,a3de2bef-1d2f-48ce-9aa7-068b2f814b2b,1.1 What are our core working hours?,Acknowledge non-critical tickets within 2 business days.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
30b025bd-a0fc-445b-8f66-ca6a6a520955,DevOps/IT Engineer,c5796d03-783a-40d0-a7d2-03b2bd112907,1.1 Passwords,Passwords must be changed every 90 days.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
f9b56713-7f53-4896-846a-a7e3885aac5c,DevOps/IT Engineer,52381d5f-d37a-4799-be9f-c0b54f1866f0,2.1 Hardware Maintenance,Passwords must be updated every 180 days per IT rotation schedule.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
b56f7f45-090c-4135-8d68-4bec446d7aad,Branch/Team Manager,5520a0c6-11e3-4b88-a2b9-a261a9ef879e,2.2 Remote Work,Employees are permitted to work remotely up to 3 days a week.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
0a37c56e-130b-42be-b3a1-7e047ecce9d3,Branch/Team Manager,1cc155f4-34e8-46af-b062-bacb3b1263dc,1.1 Ergonomic Workspace,Full-time remote work is permitted for all employees after 30 days.,Y,Medium,Month1,Conflict,Task,Topic,conflicting,
27f5a2ba-8cdf-454e-b143-14d81adb8490,Sales Executive,f64abaf9-9d6e-4dcd-898e-85152253f2d7,2.2 Proposal Creation,[v0.9] Use old pricing tiers.,N,Low,Week1,Outdated,Task,Topic,policy_version_old,
f4ff7256-2553-439d-8715-a140964f130c,Sales Executive,f64abaf9-9d6e-4dcd-898e-85152253f2d7,2.2 Proposal Creation,[v1.0] Use standard pricing tiers.,Y,High,Week1,Current,Task,Topic,policy_version_new,
6556e704-1243-4c84-add8-c839942f7008,Customer Support Executive,b3790798-829a-4415-9f2f-b93d3ef303a0,1.2 Response Times,[v0.9] Acknowledge tickets within 24 hours.,N,Low,Week1,Outdated,Task,Topic,policy_version_old,
7bfd2135-2b16-4c28-a0ce-03cd27477016,Customer Support Executive,b3790798-829a-4415-9f2f-b93d3ef303a0,1.2 Response Times,[v1.0] Acknowledge tickets within 4 hours.,Y,High,Week1,Current,Task,Topic,policy_version_new,
1483eabd-0f41-4430-ad1d-53823a7d482e,Finance Associate,23dcc303-866e-405d-8003-60930bc5aa76,4.1 Payment Terms,[v0.9] Net 60 terms for vendors.,N,Low,Week1,Outdated,Task,Topic,policy_version_old,
d667bbef-9290-4621-9748-98c57a59665a,Finance Associate,23dcc303-866e-405d-8003-60930bc5aa76,4.1 Payment Terms,[v1.0] Net 30 terms for vendors.,Y,High,Week1,Current,Task,Topic,policy_version_new,
25daa93c-323d-43c4-9eea-177fe05f808e,Data Analyst,24f753fe-bec2-4dc5-8fd0-a7c1531579e6,3.1 Retention Period,[v0.9] Retain data indefinitely.,N,Low,Week1,Outdated,Task,Topic,policy_version_old,
b6af7464-72c0-4f5b-b154-a3ca01aa2336,Data Analyst,24f753fe-bec2-4dc5-8fd0-a7c1531579e6,3.1 Retention Period,[v1.0] Retain data for 90 days.,Y,High,Week1,Current,Task,Topic,policy_version_new,
b0eed85d-8d22-4eda-b682-977e74a48be9,Marketing Executive,900bdd59-fb49-4c22-aad6-f15e956b6bf3,1.2 Marketing Executive,[v0.9] Manage outbound cold calls.,N,Low,Week1,Outdated,Task,Topic,policy_version_old,
f7e04bbf-4169-467c-8089-b2142e8b5208,Marketing Executive,900bdd59-fb49-4c22-aad6-f15e956b6bf3,1.2 Marketing Executive,[v1.0] Manage inbound marketing funnels.,Y,High,Week1,Current,Task,Topic,policy_version_new,
d777f95c-da65-4712-b46f-f6e60b56ce46,HR Executive,cb55362e-5175-4c26-86d7-edc2e6ae456f,1.1 Bi-Annual Review Schedule,[v0.9] Annual performance reviews held only in December.,N,Low,Week1,Outdated,Task,Topic,policy_version_old,
2aa319d4-1371-4dea-bb36-dffa5918deff,HR Executive,cb55362e-5175-4c26-86d7-edc2e6ae456f,1.1 Bi-Annual Review Schedule,[v1.0] Bi-annual performance reviews held in June and December.,Y,High,Week1,Current,Task,Topic,policy_version_new,
8cc60013-4eae-42da-ba8a-48daf5daa795,Finance Associate,2426cc43-7f4c-4501-99b9-ccd75a9937da,2.1 Meal Per Diem,[v0.9] Daily meal per diem limit of $50.,N,Low,Week1,Outdated,Task,Topic,policy_version_old,
d6a078db-7486-476f-93ed-9b05414335a2,Finance Associate,2426cc43-7f4c-4501-99b9-ccd75a9937da,2.1 Meal Per Diem,[v1.0] Daily meal per diem limit of $75.,Y,High,Week1,Current,Task,Topic,policy_version_new,
c24c71f9-722f-4f02-87fb-e93ee90f9715,DevOps/IT Engineer,739264a9-0c2a-465b-81cb-2965966bdf76,2.2 System and Audit Logs,[v0.9] Maintain audit logs for 90 days.,N,Low,Week1,Outdated,Task,Topic,policy_version_old,
b50872e1-39be-47f8-951f-d54c89612b53,DevOps/IT Engineer,739264a9-0c2a-465b-81cb-2965966bdf76,2.2 System and Audit Logs,[v1.0] Maintain audit logs for at least 365 days.,Y,High,Week1,Current,Task,Topic,policy_version_new,
3705c759-8152-4f95-b3a4-405c53c94318,Branch/Team Manager,cb55362e-5175-4c26-86d7-edc2e6ae456f,4.1 Performance Improvement Plan (PIP),[v0.9] Standard PIP duration is 30 days.,N,Low,Week1,Outdated,Task,Topic,policy_version_old,
23b51702-fcdc-462d-b86c-53156da3129b,Branch/Team Manager,cb55362e-5175-4c26-86d7-edc2e6ae456f,4.1 Performance Improvement Plan (PIP),[v1.0] Standard PIP duration is 60 days.,Y,High,Week1,Current,Task,Topic,policy_version_new,
de6f6203-e78a-406f-a520-eafcb89420a0,Operations Coordinator,1cc155f4-34e8-46af-b062-bacb3b1263dc,2.1 Work-From-Home Stipend,[v0.9] Work-from-home setup stipend of $250.,N,Low,Week1,Outdated,Task,Topic,policy_version_old,
0ad3f521-a4ca-4ecd-9308-4b6743c0e133,Operations Coordinator,1cc155f4-34e8-46af-b062-bacb3b1263dc,2.1 Work-From-Home Stipend,[v1.0] Work-from-home setup stipend of $500.,Y,High,Week1,Current,Task,Topic,policy_version_new,
